quarter,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Avg
Q4 2022,23.692307692307693,23.307692307692307,25.53846153846154,24.307692307692307,24.846153846153847,25.285714285714285,22.846153846153847,24.27173913043478
Q1 2023,21.46153846153846,23.846153846153847,20.615384615384617,22.846153846153847,22.307692307692307,24.25,22.615384615384617,22.544444444444444
Q2 2023,21.23076923076923,24.53846153846154,25.846153846153847,23.692307692307693,23.846153846153847,22.846153846153847,23.692307692307693,23.67032967032967
Q3 2023,20.846153846153847,22.615384615384617,23.153846153846153,22.307692307692307,22.153846153846153,22.571428571428573,21.23076923076923,22.130434782608695
Q4 2023,23.23076923076923,25.846153846153847,24.692307692307693,25.923076923076923,24.153846153846153,25.23076923076923,24.285714285714285,24.76086956521739
Q1 2024,20.23076923076923,21.307692307692307,24.0,22.692307692307693,24.76923076923077,23.0,22.076923076923077,22.582417582417584
Q2 2024,22.53846153846154,22.76923076923077,25.076923076923077,23.923076923076923,24.76923076923077,23.153846153846153,22.46153846153846,23.52747252747253
Q3 2024,22.357142857142858,24.53846153846154,24.0,25.23076923076923,26.692307692307693,23.76923076923077,22.23076923076923,24.097826086956523
Q4 2024,21.923076923076923,23.214285714285715,23.0,25.692307692307693,24.923076923076923,22.46153846153846,22.23076923076923,23.347826086956523
Q1 2025,21.76923076923077,21.0,21.923076923076923,21.153846153846153,22.923076923076923,21.76923076923077,21.307692307692307,21.7
Q2 2025,20.0,26.615384615384617,22.615384615384617,22.53846153846154,23.53846153846154,22.692307692307693,24.307692307692307,23.186813186813186
Q3 2025,22.153846153846153,23.5,25.46153846153846,23.23076923076923,23.615384615384617,24.23076923076923,23.23076923076923,23.630434782608695
Q4 2025,23.307692307692307,23.384615384615383,26.0,26.46153846153846,26.615384615384617,28.53846153846154,28.384615384615383,26.097826086956523
Q1 2026,28.846153846153847,31.384615384615383,31.75,33.23076923076923,29.53846153846154,29.53846153846154,27.076923076923077,30.177777777777777
