year,month,rhr_avg,stress_avg,steps,bb_max
2025,3,49.0,19.0,14344.0,96.0
2025,4,50.1,22.966666666666665,15576.666666666666,85.73333333333333
2025,5,52.29032258064516,23.419354838709676,16675.290322580644,82.7741935483871
2025,6,52.53333333333333,23.166666666666668,16307.266666666666,89.46666666666667
2025,7,50.54838709677419,22.096774193548388,13833.225806451614,92.90322580645162
2025,8,50.354838709677416,25.612903225806452,15379.387096774193,84.96774193548387
2025,9,50.5,23.166666666666668,13892.6,88.46666666666667
2025,10,50.61290322580645,23.516129032258064,13699.806451612903,87.25806451612904
2025,11,50.93333333333333,26.8,12022.266666666666,85.43333333333334
2025,12,51.45161290322581,28.0,7942.225806451613,85.41935483870968
2026,1,53.806451612903224,32.25806451612903,5346.548387096775,72.41935483870968
2026,2,54.42857142857143,29.714285714285715,6206.107142857143,75.89285714285714
2026,3,54.354838709677416,28.516129032258064,7689.258064516129,76.90322580645162
