,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,calories_active_avg,stress_avg,weight_avg
hr_min,1.0,0.49571152252243644,0.9194157662510604,0.40063902194945644,0.11897741415735853,0.4969384028345018,0.21257461698989663,0.17961234757164343,0.16146935954057529,0.18868964005485064,0.23847891089038772,0.6181178763878775,0.06916039616506614
hr_max,0.49571152252243644,1.0,0.4943480804216352,0.4009358936927763,-0.0989994437786646,0.35745481318928196,0.6526449465502714,0.4398532584579511,0.21497740185421665,0.5966076941597025,0.6619569995274829,0.5188909828785929,0.14553444870653506
rhr_min,0.9194157662510604,0.4943480804216352,1.0,0.40176054237182973,0.1099529345012968,0.5425924155897618,0.19304008561330926,0.1340402926630911,0.17016452287310943,0.1296647498042406,0.19249056107587997,0.6096678990205329,0.038158303001357426
bb_max,0.40063902194945644,0.4009358936927763,0.40176054237182973,1.0,0.6872520476730604,0.8106639927831402,0.05789321939182334,-0.09989666818247592,-0.05225400738837423,0.031953609042696896,0.03268046820567261,-0.012155263924633973,0.27109605696185884
bb_min,0.11897741415735853,-0.0989994437786646,0.1099529345012968,0.6872520476730604,1.0,0.5829158447342294,-0.37408120723960664,-0.2503512310177364,-0.27354996454538577,-0.3799558453853064,-0.43651235315207587,-0.4274462312634539,0.1686174994766909
sleep_avg,0.4969384028345018,0.35745481318928196,0.5425924155897618,0.8106639927831402,0.5829158447342294,1.0,0.03440455506188184,-0.20083856719463547,0.043569830847955945,-0.017499631990884935,0.002178081119544152,0.10912671516484687,0.15303982362339547
steps,0.21257461698989663,0.6526449465502714,0.19304008561330926,0.05789321939182334,-0.37408120723960664,0.03440455506188184,1.0,0.6889009906205602,0.26916711514350894,0.923717952150542,0.9348741007573979,0.3685809633483682,0.016954722379946063
floors,0.17961234757164343,0.4398532584579511,0.1340402926630911,-0.09989666818247592,-0.2503512310177364,-0.20083856719463547,0.6889009906205602,1.0,0.17473013207590155,0.6686744279586714,0.671505731215919,0.3171126627440694,-0.1077057272821794
moderate_activity_time,0.16146935954057529,0.21497740185421665,0.17016452287310943,-0.05225400738837423,-0.27354996454538577,0.043569830847955945,0.26916711514350894,0.17473013207590155,1.0,0.1471160777323603,0.4138612007150568,0.2154154128966355,-0.04787574139373985
vigorous_activity_time,0.18868964005485064,0.5966076941597025,0.1296647498042406,0.031953609042696896,-0.3799558453853064,-0.017499631990884935,0.923717952150542,0.6686744279586714,0.1471160777323603,1.0,0.9476404001524957,0.34686706409591467,-0.015706580649148448
calories_active_avg,0.23847891089038772,0.6619569995274829,0.19249056107587997,0.03268046820567261,-0.43651235315207587,0.002178081119544152,0.9348741007573979,0.671505731215919,0.4138612007150568,0.9476404001524957,1.0,0.41844398149269135,0.03342752558258313
stress_avg,0.6181178763878775,0.5188909828785929,0.6096678990205329,-0.012155263924633973,-0.4274462312634539,0.10912671516484687,0.3685809633483682,0.3171126627440694,0.2154154128966355,0.34686706409591467,0.41844398149269135,1.0,-0.09034952333918357
weight_avg,0.06916039616506614,0.14553444870653506,0.038158303001357426,0.27109605696185884,0.1686174994766909,0.15303982362339547,0.016954722379946063,-0.1077057272821794,-0.04787574139373985,-0.015706580649148448,0.03342752558258313,-0.09034952333918357,1.0
