year,month,rhr_avg,stress_avg,steps,bb_max
2025,7,50.55,22.1,13833.23,92.9
2025,8,50.35,25.61,15379.39,84.97
2025,9,50.5,23.17,13892.6,88.47
2025,10,50.61,23.52,13699.81,87.26
2025,11,50.93,26.8,12022.27,85.43
2025,12,51.45,28.0,7942.23,85.42
2026,1,53.81,32.26,5346.55,72.42
2026,2,54.43,29.71,6206.11,75.89
2026,3,54.35,28.52,7689.26,76.9
2026,4,54.67,24.7,10793.6,85.3
2026,5,54.03,26.48,8104.79,77.86
2026,6,53.9,26.47,8276.27,83.77
