quarter,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Avg
Q3 2019,29.4,26.5,29.9,27.9,31.4,33.2,29.6,29.7
Q4 2019,29.5,32.2,32.3,31.9,34.5,34.1,35.3,32.8
Q1 2020,32.8,30.6,30.0,31.9,36.6,34.3,36.9,33.3
Q2 2020,24.0,23.3,23.9,28.2,28.7,27.2,28.8,26.3
Q3 2020,26.7,23.0,23.3,25.5,26.8,27.3,26.4,25.6
Q4 2020,25.6,24.6,23.8,24.4,24.4,24.7,25.6,24.7
Q1 2021,23.8,23.7,25.0,24.8,25.3,24.0,24.3,24.4
Q2 2021,22.2,24.0,26.3,26.6,26.5,27.2,24.9,25.4
Q3 2021,22.7,21.5,23.4,24.6,24.0,23.3,21.5,23.0
Q4 2021,26.1,24.5,25.3,25.8,26.4,28.3,30.0,26.6
Q1 2022,29.5,27.5,29.1,31.1,31.5,33.7,29.4,30.3
Q2 2022,31.3,31.5,31.7,31.8,30.8,36.2,31.7,32.1
Q3 2022,26.3,25.3,23.8,25.0,25.8,26.9,24.7,25.4
Q4 2022,22.8,23.7,23.3,25.5,24.3,24.8,25.3,24.2
Q1 2023,22.6,21.5,23.8,20.6,22.8,22.3,24.3,22.6
Q2 2023,23.7,21.2,24.5,25.8,23.7,23.8,22.8,23.6
Q3 2023,21.2,20.8,22.6,23.2,22.3,22.2,22.6,22.1
Q4 2023,24.3,23.2,25.8,24.7,25.9,24.2,25.2,24.8
Q1 2024,22.1,20.2,21.3,24.0,22.7,24.8,23.0,22.6
Q2 2024,22.5,22.5,22.8,25.1,23.9,24.8,23.2,23.5
Q3 2024,22.2,22.4,24.5,24.0,25.2,26.7,23.8,24.1
Q4 2024,22.2,21.9,23.2,23.0,25.7,24.9,22.5,23.3
Q1 2025,21.3,21.8,21.0,21.9,21.2,22.9,21.8,21.7
Q2 2025,24.3,20.0,26.6,22.6,22.5,23.5,22.7,23.2
Q3 2025,23.2,22.2,23.5,25.5,23.2,23.6,24.2,23.6
Q4 2025,28.4,23.3,23.4,26.0,26.5,26.6,28.5,26.1
Q1 2026,27.1,28.8,31.4,31.8,33.2,29.5,29.5,30.2
Q2 2026,24.5,25.8,26.4,27.2,26.9,25.6,24.7,25.9
