Quarter,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Avg
Q1,83.84615384615384,86.0,83.0,79.46153846153847,87.15384615384616,84.46153846153847,82.23076923076923,83.73626373626374
Q2,82.76923076923077,74.08333333333333,78.92307692307692,85.92307692307692,80.66666666666667,75.46153846153847,82.3076923076923,80.01923076923076
Q3,80.6923076923077,85.07692307692308,84.76923076923077,80.38461538461539,82.46153846153847,78.07692307692308,83.0,82.06593406593406
Q4,76.84615384615384,85.84615384615384,83.61538461538461,77.15384615384616,78.07692307692308,83.6923076923077,79.23076923076923,80.63736263736264
