,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,calories_active_avg,stress_avg,weight_avg
hr_min,1.0,0.023001619434368844,0.7843521026731949,-0.6512188354340561,-0.415802639373031,-0.4388470249077545,-0.11992325385700135,-0.08839800194045139,-0.10381516449898034,0.01299328513631243,-0.02567541764457795,0.3585148196117683,-0.021505880859319832
hr_max,0.023001619434368844,1.0,-0.02892923923025029,0.05922182008792143,-0.06349025349628733,-0.1887860319406389,0.7376101354633464,0.6022849481679019,0.21966902357781834,0.7851357503141959,0.74211041482914,-0.024794312428126068,-0.09070977971656488
rhr_min,0.7843521026731949,-0.02892923923025029,1.0,-0.5844395213333327,-0.4047143472209683,-0.19299053134117755,-0.15100085067682634,-0.10423544658793675,-0.10660014058486161,-0.04080693924983423,-0.06780818218624872,0.39236194347592673,-0.03869232961739825
bb_max,-0.6512188354340561,0.05922182008792143,-0.5844395213333327,1.0,0.6483573069663587,0.5658686474568712,0.09888488637524906,0.09999586208502097,0.06920334412748277,-0.002460121475876842,0.01946761252553422,-0.43379051155316356,0.10226069200769242
bb_min,-0.415802639373031,-0.06349025349628733,-0.4047143472209683,0.6483573069663587,1.0,0.3569799293124801,-0.07685745719800148,-0.019975955261738527,-0.16588508607388616,-0.03667637823400424,-0.16339958134586832,-0.7534091106550849,0.1820973754350068
sleep_avg,-0.4388470249077545,-0.1887860319406389,-0.19299053134117755,0.5658686474568712,0.3569799293124801,1.0,-0.09930650161232782,-0.11699937442686682,0.016091054428357163,-0.15320251918028693,-0.08842186931179472,-0.10331527411295369,-0.022383635121812764
steps,-0.11992325385700135,0.7376101354633464,-0.15100085067682634,0.09888488637524906,-0.07685745719800148,-0.09930650161232782,1.0,0.8098307250321723,0.5498694827519663,0.8114658503821898,0.9270135298995708,-0.13350683237141897,0.05907837670351587
floors,-0.08839800194045139,0.6022849481679019,-0.10423544658793675,0.09999586208502097,-0.019975955261738527,-0.11699937442686682,0.8098307250321723,1.0,0.7702098264417548,0.6081066134287707,0.7663689916049112,-0.1504786691699529,0.04732039978165375
moderate_activity_time,-0.10381516449898034,0.21966902357781834,-0.10660014058486161,0.06920334412748277,-0.16588508607388616,0.016091054428357163,0.5498694827519663,0.7702098264417548,1.0,0.1811206700753711,0.5295454699436934,0.045469958874868745,0.027749733087493185
vigorous_activity_time,0.01299328513631243,0.7851357503141959,-0.04080693924983423,-0.002460121475876842,-0.03667637823400424,-0.15320251918028693,0.8114658503821898,0.6081066134287707,0.1811206700753711,1.0,0.9046362881718016,-0.13860927403838894,-0.08787088413470695
calories_active_avg,-0.02567541764457795,0.74211041482914,-0.06780818218624872,0.01946761252553422,-0.16339958134586832,-0.08842186931179472,0.9270135298995708,0.7663689916049112,0.5295454699436934,0.9046362881718016,1.0,-0.017889476565316937,-0.05816983264720179
stress_avg,0.3585148196117683,-0.024794312428126068,0.39236194347592673,-0.43379051155316356,-0.7534091106550849,-0.10331527411295369,-0.13350683237141897,-0.1504786691699529,0.045469958874868745,-0.13860927403838894,-0.017889476565316937,1.0,-0.2238211910494356
weight_avg,-0.021505880859319832,-0.09070977971656488,-0.03869232961739825,0.10226069200769242,0.1820973754350068,-0.022383635121812764,0.05907837670351587,0.04732039978165375,0.027749733087493185,-0.08787088413470695,-0.05816983264720179,-0.2238211910494356,1.0
