year,month,rhr_avg,stress_avg,steps,bb_max
2024,10,50.57142857142857,20.857142857142858,16358.0,95.85714285714286
2024,11,50.3,21.833333333333332,19398.033333333333,95.36666666666666
2024,12,53.354838709677416,25.483870967741936,13009.193548387097,79.35483870967742
2025,1,53.225806451612904,22.70967741935484,11983.967741935483,87.45161290322581
2025,2,49.607142857142854,20.357142857142858,19006.39285714286,97.60714285714286
2025,3,49.29032258064516,21.903225806451612,19027.83870967742,94.7741935483871
2025,4,50.1,22.966666666666665,15576.666666666666,85.73333333333333
2025,5,52.29032258064516,23.419354838709676,16675.290322580644,82.7741935483871
2025,6,52.53333333333333,23.166666666666668,16307.266666666666,89.46666666666667
2025,7,50.54838709677419,22.096774193548388,13833.225806451614,92.90322580645162
2025,8,50.354838709677416,25.612903225806452,15379.387096774193,84.96774193548387
2025,9,50.5,23.142216199939774,13677.333333333334,88.48275862068965
2025,10,50.869565217391305,23.485073484384568,13899.478260869566,87.27272727272727
