sa2_name,total_persons,total_educated,percent
Newcastle Port - Kooragang,20,0,0
Ettrema - Sassafras - Budawang,37,0,0
Prospect Reservoir,20,0,0
Banksmeadow,14,0,0
Sydney Airport,15,0,0
Chullora,5,0,0
Blue Mountains - South,7,0,0
Rookwood Cemetery,7,0,0
Smithfield Industrial,23,0,0
Yennora Industrial,15,0,0
